run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR1700893	SAMEA2730950	ERX1771202	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700893/ERR1700893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700893/ERR1700893_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700893/AHX_CBFAOSF_4_1_C1KG9ACXX.IND21_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700893/AHX_CBFAOSF_4_2_C1KG9ACXX.IND21_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/003/ERR1700893	
ERR1700894	SAMEA2619554	ERX1771192	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700894/ERR1700894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700894/ERR1700894_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700894/AHX_BLKAOSF_4_1_D11W5ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700894/AHX_BLKAOSF_4_2_D11W5ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700894	
ERR1700897	SAMEA2622039	ERX1771199	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700897/ERR1700897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700897/ERR1700897_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700897/AHX_ARCAOSF_3_1_D11U4ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700897/AHX_ARCAOSF_3_2_D11U4ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/007/ERR1700897	
ERR1700900	SAMEA2619421	ERX1771180	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700900/ERR1700900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700900/ERR1700900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700900/AHX_AXBAOSF_3_1_D2CBEACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700900/AHX_AXBAOSF_3_2_D2CBEACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700900	
ERR1700903	SAMEA2622132	ERX1771196	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700903/ERR1700903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700903/ERR1700903_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700903/AHX_AQLAOSF_7_1_C06YRACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700903/AHX_AQLAOSF_7_2_C06YRACXX.IND10_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/003/ERR1700903	
ERR1700909	SAMEA2657050	ERX1771193	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700909/ERR1700909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700909/ERR1700909_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700909/AHX_AVSAOSF_6_1_D0U5MACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700909/AHX_AVSAOSF_6_2_D0U5MACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/009/ERR1700909	
ERR1700910	SAMEA2732453	ERX1771200	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700910/ERR1700910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700910/ERR1700910_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700910/AHX_BXVAOSF_6_1_D1CL8ACXX.IND15_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700910/AHX_BXVAOSF_6_2_D1CL8ACXX.IND15_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700910	
ERR1700914	SAMEA2656981	ERX1771179	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700914/ERR1700914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700914/ERR1700914_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700914/AHX_ARTAOSF_4_1_C070GACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700914/AHX_ARTAOSF_4_2_C070GACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700914	
ERR1726522	SAMEA2657109	ERX1796605	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1726522/ERR1726522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1726522/ERR1726522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726522/AHX_BAVIOSF_4_1_C0D4GACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726522/AHX_BAVIOSF_4_2_C0D4GACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/002/ERR1726522	
ERR1726523	SAMEA2623302	ERX1796551	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1726523/ERR1726523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1726523/ERR1726523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726523/AHX_BXCIOSF_6_1_C1J42ACXX.IND13_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726523/AHX_BXCIOSF_6_2_C1J42ACXX.IND13_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/003/ERR1726523	
ERR1726524	SAMEA2621794	ERX1796959	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1726524/ERR1726524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1726524/ERR1726524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726524/AHX_CNBIOSF_4_1_C3PWEACXX.IND15_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726524/AHX_CNBIOSF_4_2_C3PWEACXX.IND15_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/004/ERR1726524	
ERR1726531	SAMEA2730863	ERX1796827	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726531/ERR1726531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726531/ERR1726531_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726531/AHX_AKCIOSF_3_1_C2EREACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726531/AHX_AKCIOSF_3_2_C2EREACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/001/ERR1726531	
ERR1726534	SAMEA2731821	ERX1796542	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1726534/ERR1726534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1726534/ERR1726534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726534/AHX_CEGIOSF_5_1_C1L05ACXX.IND21_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726534/AHX_CEGIOSF_5_2_C1L05ACXX.IND21_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/004/ERR1726534	
ERR1726537	SAMEA2656993	ERX1796537	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1726537/ERR1726537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1726537/ERR1726537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726537/AHX_AFPIOSF_4_1_C0BV5ACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726537/AHX_AFPIOSF_4_2_C0BV5ACXX.IND9_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/007/ERR1726537	
ERR1726540	SAMEA2619746	ERX1796569	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726540/ERR1726540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726540/ERR1726540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726540/AHX_AEDIOSF_5_1_D0YGFACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726540/AHX_AEDIOSF_5_2_D0YGFACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/000/ERR1726540	
ERR1726545	SAMEA2623961	ERX1796796	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1726545/ERR1726545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1726545/ERR1726545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726545/AHX_CHAIOSF_7_1_C1JJLACXX.IND17_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726545/AHX_CHAIOSF_7_2_C1JJLACXX.IND17_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/005/ERR1726545	
ERR1726546	SAMEA2657062	ERX1796953	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1726546/ERR1726546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1726546/ERR1726546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726546/AHX_AEFIOSF_8_1_C0RBKACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726546/AHX_AEFIOSF_8_2_C0RBKACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/006/ERR1726546	
ERR1726547	SAMEA2730594	ERX1796935	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1726547/ERR1726547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1726547/ERR1726547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726547/AHX_CDNIOSF_8_1_D1PATACXX.IND15_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726547/AHX_CDNIOSF_8_2_D1PATACXX.IND15_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/007/ERR1726547	
ERR1726548	SAMEA2730877	ERX1796548	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/008/ERR1726548/ERR1726548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/008/ERR1726548/ERR1726548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726548/AHX_CDFIOSF_8_1_C2463ACXX.IND13_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726548/AHX_CDFIOSF_8_2_C2463ACXX.IND13_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/008/ERR1726548	
ERR1726552	SAMEA2657019	ERX1796600	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1726552/ERR1726552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1726552/ERR1726552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726552/AHX_AXXIOSF_5_1_C0D15ACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726552/AHX_AXXIOSF_5_2_C0D15ACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/002/ERR1726552	
ERR1726553	SAMEA2731672	ERX1796666	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1726553/ERR1726553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1726553/ERR1726553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726553/AHX_CGFIOSF_8_1_C1JFHACXX.IND18_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726553/AHX_CGFIOSF_8_2_C1JFHACXX.IND18_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/003/ERR1726553	
ERR1726559	SAMEA2732843	ERX1796839	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1726559/ERR1726559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1726559/ERR1726559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726559/AHX_BTKIOSF_6_1_C7T09ACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726559/AHX_BTKIOSF_6_2_C7T09ACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/009/ERR1726559	
ERR1726560	SAMEA2732716	ERX1796938	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726560/ERR1726560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726560/ERR1726560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726560/AHX_BXLIOSF_8_1_C1J2KACXX.IND17_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726560/AHX_BXLIOSF_8_2_C1J2KACXX.IND17_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/000/ERR1726560	
ERR1726561	SAMEA2657005	ERX1796836	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726561/ERR1726561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726561/ERR1726561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726561/AHX_BBAIOSF_6_1_C0D4GACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726561/AHX_BBAIOSF_6_2_C0D4GACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/001/ERR1726561	
ERR1726573	SAMEA2732401	ERX1796817	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1726573/ERR1726573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1726573/ERR1726573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726573/AHX_BPPIOSF_6_1_D2GD8ACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726573/AHX_BPPIOSF_6_2_D2GD8ACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/003/ERR1726573	
ERR1726580	SAMEA2732790	ERX1796793	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726580/ERR1726580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726580/ERR1726580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726580/AHX_BTLIOSF_3_1_C2FJDACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726580/AHX_BTLIOSF_3_2_C2FJDACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/000/ERR1726580	
ERR1726581	SAMEA2730686	ERX1796609	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726581/ERR1726581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726581/ERR1726581_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726581/AHX_CCXIOSF_3_1_C1JREACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726581/AHX_CCXIOSF_3_2_C1JREACXX.IND9_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/001/ERR1726581	
ERR1726587	SAMEA2657110	ERX1796901	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1726587/ERR1726587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1726587/ERR1726587_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726587/AHX_AHPIOSF_1_1_D2C56ACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726587/AHX_AHPIOSF_1_2_D2C56ACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/007/ERR1726587	
ERR1726588	SAMEA2657086	ERX1796573	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/008/ERR1726588/ERR1726588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/008/ERR1726588/ERR1726588_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726588/AHX_AQFIOSF_2_1_D0EFNACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726588/AHX_AQFIOSF_2_2_D0EFNACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/008/ERR1726588	
ERR1726589	SAMEA2623859	ERX1796634	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1726589/ERR1726589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1726589/ERR1726589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726589/AHX_CFMIOSF_4_1_D2AMJACXX.IND20_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726589/AHX_CFMIOSF_4_2_D2AMJACXX.IND20_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/009/ERR1726589	
ERR1726590	SAMEA2731419	ERX1796570	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726590/ERR1726590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1726590/ERR1726590_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726590/AHX_BNPIOSF_6_1_C0V00ACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1726590/AHX_BNPIOSF_6_2_C0V00ACXX.IND10_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR172/000/ERR1726590	
