local_identifier	row_number	parameter	description	method	pi
depth_max	15	Depth, bottom/max [m] (Depth bot)	from which this sample was collected	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
size_frac_low	16	Size fraction, lower threshold [µm] (Fraction lower)	used on board to prepare samples	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
size_frac_high	17	Size fraction, upper threshold [µm] (Fraction upper)	used on board to prepare samples	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id01	18	Sample material (Samp mat)	TARA_station_environmental-feature_size-fraction	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id02	19	Sample method (Sample method)	short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id03	20	Sample code/label (Sample label)	TARA_event-datetime_station_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875576_021	21	Distance [km] (Distance)	interval between the location at which the sample was collected and that of the closest environmental context information	NA	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_022	22	Duration (Duration)	interval between the date/time at which the sample was collected and that of the closest environmental context information	ISO 8601 (URI: https://en.wikipedia.org/wiki/ISO_8601)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_023	23	File name (File name)	of sensor profiles that meet the criteria: distance lag <100 km and date/time lag <2 days	NA	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_024	24	Number of observations [num] (NOBS)	that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days	NA	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_025	25	Temperature, water [°C] (Temp)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_026	26	Temperature, water [°C] (Temp)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_027	27	Temperature, water [°C] (Temp)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_028	28	Temperature, water [°C] (Temp)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_029	29	Temperature, water [°C] (Temp)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_030	30	Conductivity [mS/cm] (Cond)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_031	31	Conductivity [mS/cm] (Cond)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_032	32	Conductivity [mS/cm] (Cond)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_033	33	Conductivity [mS/cm] (Cond)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_034	34	Conductivity [mS/cm] (Cond)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_035	35	Salinity (Sal)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_036	36	Salinity (Sal)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_037	37	Salinity (Sal)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_038	38	Salinity (Sal)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_039	39	Salinity (Sal)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_040	40	Temperature, water, potential [°C] (Tpot)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_041	41	Temperature, water, potential [°C] (Tpot)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_042	42	Temperature, water, potential [°C] (Tpot)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_043	43	Temperature, water, potential [°C] (Tpot)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_044	44	Temperature, water, potential [°C] (Tpot)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_045	45	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_046	46	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_047	47	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_048	48	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_049	49	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_050	50	Oxygen [µmol/kg] (O2)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_051	51	Oxygen [µmol/kg] (O2)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_052	52	Oxygen [µmol/kg] (O2)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_053	53	Oxygen [µmol/kg] (O2)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_054	54	Oxygen [µmol/kg] (O2)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_055	55	Oxygen [µmol/kg] (O2)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using WOA09 climatology	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_056	56	Oxygen [µmol/kg] (O2)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using WOA09 climatology	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_057	57	Oxygen [µmol/kg] (O2)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using WOA09 climatology	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_058	58	Oxygen [µmol/kg] (O2)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using WOA09 climatology	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_059	59	Oxygen [µmol/kg] (O2)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using WOA09 climatology	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_060	60	Nitrate [µmol/l] ([NO3]-)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_061	61	Nitrate [µmol/l] ([NO3]-)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_062	62	Nitrate [µmol/l] ([NO3]-)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_063	63	Nitrate [µmol/l] ([NO3]-)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_064	64	Nitrate [µmol/l] ([NO3]-)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_065	65	Chlorophyll a [mg/m**3] (Chl a)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_066	66	Chlorophyll a [mg/m**3] (Chl a)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_067	67	Chlorophyll a [mg/m**3] (Chl a)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_068	68	Chlorophyll a [mg/m**3] (Chl a)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_069	69	Chlorophyll a [mg/m**3] (Chl a)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_070	70	Chlorophyll a [mg/m**3] (Chl a)	minimum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, NPQ corrected	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_071	71	Chlorophyll a [mg/m**3] (Chl a)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, NPQ corrected	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_072	72	Chlorophyll a [mg/m**3] (Chl a)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, NPQ corrected	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_073	73	Chlorophyll a [mg/m**3] (Chl a)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, NPQ corrected	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_074	74	Chlorophyll a [mg/m**3] (Chl a)	maximum value in the selected environmental feature around the sampling date and location	calculated from in situ sensor data, NPQ corrected	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_075	75	Chlorophyll a [mg/m**3] (Chl a)	minimum value in the selected environmental feature around the sampling date and location, fluorescence was corrected for Non-Photochemical Quenching (NPQ)	calculated from in situ sensor data, NPQ cor. and calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_076	76	Chlorophyll a [mg/m**3] (Chl a)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, fluorescence was corrected for Non-Photochemical Quenching (NPQ)	calculated from in situ sensor data, NPQ cor. and calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_077	77	Chlorophyll a [mg/m**3] (Chl a)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, fluorescence was corrected for Non-Photochemical Quenching (NPQ)	calculated from in situ sensor data, NPQ cor. and calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_078	78	Chlorophyll a [mg/m**3] (Chl a)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, , fluorescence was corrected for Non-Photochemical Quenching (NPQ)	calculated from in situ sensor data, NPQ cor. and calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_079	79	Chlorophyll a [mg/m**3] (Chl a)	maximum value in the selected environmental feature around the sampling date and location, fluorescence was corrected for Non-Photochemical Quenching (NPQ)	calculated from in situ sensor data, NPQ cor. and calibrated using water samples	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_080	80	Angular scattering coefficient, 470 nm [m/sr] (beta470)	minimum value in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_081	81	Angular scattering coefficient, 470 nm [m/sr] (beta470)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_082	82	Angular scattering coefficient, 470 nm [m/sr] (beta470)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_083	83	Angular scattering coefficient, 470 nm [m/sr] (beta470)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_084	84	Angular scattering coefficient, 470 nm [m/sr] (beta470)	maximum value in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_085	85	Angular scattering coefficient, 470 nm [m/sr] (beta470)	minimum value in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_086	86	Angular scattering coefficient, 470 nm [m/sr] (beta470)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_087	87	Angular scattering coefficient, 470 nm [m/sr] (beta470)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_088	88	Angular scattering coefficient, 470 nm [m/sr] (beta470)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_089	89	Angular scattering coefficient, 470 nm [m/sr] (beta470)	maximum value in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_090	90	Angular scattering coefficient, 470 nm [m/sr] (beta470)	minimum value in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_091	91	Angular scattering coefficient, 470 nm [m/sr] (beta470)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_092	92	Angular scattering coefficient, 470 nm [m/sr] (beta470)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_093	93	Angular scattering coefficient, 470 nm [m/sr] (beta470)	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_094	94	Angular scattering coefficient, 470 nm [m/sr] (beta470)	maximum value in the selected environmental feature around the sampling date and location	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_095	95	Optical backscattering coefficient, 470 nm [1/m] (bb470)	minimum value in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_096	96	Optical backscattering coefficient, 470 nm [1/m] (bb470)	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
PANGAEA.875576_097	97	Optical backscattering coefficient, 470 nm [1/m] (bb470)	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, includes backscattering by particulate and dissolved matter and water molecules	Calculated from in situ sensor data, corrected with in situ measurements in dark	Guidi, Lionel (https://orcid.org/0000-0002-6669-5744, lguidi@obs-vlfr.fr)
