local_identifier	row_number	parameter	description	method	pi
PANGAEA.875577_045	45	Nitrate [µmol/l] ([NO3]-)	mean value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_046	46	Nitrate, standard deviation [±] (NO3 std dev)	standard deviation value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_047	47	Sea surface fluorescence, colored dissolved organic matter [ppb (QSE)] (SSfCDOM)	at the sampling location and date, expressed in ppb QSE (i.e. fluorescence emitted by 1 ppb of quinine sulfate diluted in 0.05 M sulfuric acid)	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875577_048	48	Sea surface chlorophyll a [mg/m**3] (SSChla)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_049	49	Chlorophyll a, areal concentration [mg/m**2] (Chl a conc)	at the sampling location and date	Calculated by vertical integration of fluorescence profiles 0-200 m or bottom	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_050	50	Sea surface quantum yield of fluorescence [%] (Ssphi sat)	at the sampling location for a period of 30 days around the sampling date, using satellite-based estimates of surface fluorescence and photosynthetically active radiation (Behrenfeld et al. 2009), and corr. for Non-Photochemical Quenching (NPQ)	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Garczarek, Laurence (https://orcid.org/0000-0002-8191-8395, garczare@sb-roscoff.fr)
PANGAEA.875577_051	51	Net primary production of carbon [mg/m**2/day] (NPP C)	at the sampling location and date	Calculated using the Arctic-adapted UQAR-TAKUVIK model (URI: https://doi.org/10.1016/j.pocean.2015.08.008)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_052	52	Net primary production of carbon [mg/m**2/day] (NPP C)	at the sampling location for a period of 30 days around the sampling date	calculated from VGPM products (URI: http://www.science.oregonstate.edu/ocean.productivity/vgpm.model.php)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875577_053	53	Suspended matter, total [mg/l] (TSS)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (MERIS C2R Neural Network algorithm)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_054	54	Particulate organic carbon [µg/kg] (POC)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_055	55	Carbon, inorganic, particulate [mol/m**3] (PIC)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_056	56	Depth, bathymetric [m] (Bathy depth)	NA	at the sampling location and date	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_057	57	LATITUDE (Latitude)	of the closest geographic coordinate on a coast	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)	GEOCODE
PANGAEA.875577_058	58	LONGITUDE (Longitude)	of the closest geographic coordinate on a coast	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)	GEOCODE
PANGAEA.875577_059	59	Distance [km] (Distance)	NA	from the closest geographic coordinate on a coast	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_060	60	Sea surface temperature gradient, horizontal [°C/100 km] (SST grad h)	NA	at the sampling location and date	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_061	61	Strain sub-mesoscale index [1/s**2] (SSM index)	NA	at the sampling location and date	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_062	62	Geostrophic velocity, longitudinal [cm/s] (u)	at the sampling location and date	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)
PANGAEA.875577_063	63	Geostrophic velocity, latitudinal [cm/s] (v)	at the sampling location and date	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)
PANGAEA.875577_064	64	Okubo-Weiss parameter (OW)	at the sampling location and date [Values<0 indicate inside an eddy; Values>0 indicate outside an eddy]	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)
PANGAEA.875577_065	65	Maximum Lyapunov exponent [1/day] (MLE)	at the sampling location and date [Values>0.1 indicate the presence of a transport front]	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)
PANGAEA.875577_066	66	Residence time [days] (RT)	of the water mass at the sampling location and date [Values>30 indicate old water mass; Values<30 indicate young water mass]	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)
PANGAEA.875577_067	67	LATITUDE (Latitude)	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)	GEOCODE
PANGAEA.875577_068	68	LONGITUDE (Longitude)	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)	GEOCODE
PANGAEA.875577_069	69	Age [days] (Age)	number of days since the sampled water mass has left a continental shelf with a bathymetry >500 m, based on a back-calculated geostrophic current trajectory	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)
PANGAEA.875577_070	70	LATITUDE (Latitude)	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)	GEOCODE
PANGAEA.875577_071	71	LONGITUDE (Longitude)	Calculated (d'Ovidio et al. 2010) (URI: https://doi.org/10.1073/pnas.1004620107)	d'Ovidio, Francesco (https://orcid.org/0000-0002-9664-7778, francesco.dovidio@locean-ipsl.upmc.fr)	GEOCODE
