tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	biosample_acc_num	ena_acc_num	tara_station	env_ontology	latitude	longitude	date_time	size_low_thresh	size_high_thresh	ocean_id	longhurst_code	longhurst_biome	bathy_depth	dist_to_coastline	depth	depth_min	depth_max	temperature	salinity	density	chl_a	dO2	DIN	NO2	FeT	PO4	SiO2
TARA_N000000121	ERS489353	SAMEA2730866	ERR4691705	ERX4612814	PRJEB4352	SAMEA2730866	ERS489353	TARA_049	[SRF] surface water layer (ENVO:00010504)	-16.808	59.504	2010-04-23	180	2000	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]	Trades Biome	24	980.6117531421393	5	3	7	28.2729	34.4863	21.9195	0.104797	192.5495	0.062	0.006	0.001104251	0.096	2.436
TARA_Y100000120	ERS489341	SAMEA2620428	ERR164425	ERX140292	PRJEB1788	SAMEA2620428	ERS489341	TARA_049	[SRF] surface water layer (ENVO:00010504)	-16.808	59.504	2010-04-23	0.22	1.6	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]	Trades Biome	24	980.6117531421393	5	3	7	28.2729	34.4863	21.9195	0.104797	192.5495	0.062	0.006	0.001104251	0.096	2.436
TARA_Y200000001	ERS487894	SAMEA2619371	ERR164424	ERX140299	PRJEB1788	SAMEA2619371	ERS487894	TARA_003	[SRF] surface water layer (ENVO:00010504)	36.672	-10.421	2009-09-13	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	3750	137.3332628843415	9	3	15	21.8185	36.84755	25.6802	-0.0234	224.8512420654297	0.008996706	0.049836452	0.001387426	6.3355662859976e-4	0.00556691968813538
TARA_X000000323	ERS487919	SAMEA2619396	ERR868369	ERX948032	PRJEB4352	SAMEA2619396	ERS487919	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	9	3	15	20.238088	36.599199	25.909909	0.180403	223.12594604492188	0.008067715	0.044259438	0.001387698	6.3146441243588e-4	0.00539130112156271
TARA_X000000325	ERS487921	SAMEA2619398	ERR1726542	ERX1796512	PRJEB4352	SAMEA2619398	ERS487921	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	5	20	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	9	3	15	20.238088	36.599199	25.909909	0.180403	223.12594604492188	0.008067715	0.044259438	0.001387698	6.3146441243588e-4	0.00539130112156271
TARA_X000000357	ERS487930	SAMEA2657059	ERR1726827	ERX1796900	PRJEB4352	SAMEA2657059	ERS487930	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	180	2000	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	9	3	15	20.238088	36.599199	25.909909	0.180403	223.12594604492188	0.008067715	0.044259438	0.001387698	6.3146441243588e-4	0.00539130112156271
TARA_Y200000002	ERS487911	SAMEA2619388	ERR164420	ERX140295	PRJEB1788	SAMEA2619388	ERS487911	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	9	3	15	20.238088	36.599199	25.909909	0.180403	223.12594604492188	0.008067715	0.044259438	0.001387698	6.3146441243588e-4	0.00539130112156271
TARA_X000000263	ERS487899	SAMEA2619376	ERR599003	ERX556024	PRJEB1787	SAMEA2619376	ERS487899	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	9	3	15	20.238088	36.599199	25.909909	0.180403	223.12594604492188	0.008067715	0.044259438	0.001387698	6.3146441243588e-4	0.00539130112156271
TARA_X000000263	ERS487899	SAMEA2619376	ERR598955	ERX555964	PRJEB1787	SAMEA2619376	ERS487899	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	9	3	15	20.238088	36.599199	25.909909	0.180403	223.12594604492188	0.008067715	0.044259438	0.001387698	6.3146441243588e-4	0.00539130112156271
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700900	ERX1771180	PRJEB4352	SAMEA2619421	ERS487958	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	5	20	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000408	ERS487956	SAMEA2619419	ERR868435	ERX948051	PRJEB4352	SAMEA2619419	ERS487956	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000408	ERS487956	SAMEA2619419	ERR868437	ERX948025	PRJEB4352	SAMEA2619419	ERS487956	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700908	ERX1771198	PRJEB4352	SAMEA2619421	ERS487958	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	5	20	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000408	ERS487956	SAMEA2619419	ERR868510	ERX947959	PRJEB4352	SAMEA2619419	ERS487956	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000368	ERS487936	SAMEA2619399	ERR598950	ERX556067	PRJEB1787	SAMEA2619399	ERS487936	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000368	ERS487936	SAMEA2619399	ERR599095	ERX555913	PRJEB1787	SAMEA2619399	ERS487936	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	Westerlies Biome	56	18.313620273057403	40	35	45	16.3584	36.5811	26.8866	0.535777	257.5425262451172	0.008067715	0.044259438	0.001387698	0.00633134180679917	0.012099707499146458
TARA_X000000521	ERS487990	SAMEA2730820	ERR4691726	ERX4612835	PRJEB4352	SAMEA2730820	ERS487990	TARA_005	[SRF] surface water layer (ENVO:00010504)	36.03	-4.405	2009-09-20	180	2000	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	1275	57.25366636019501	9	3	15	20.730517	37.05135	26.1051	0.607927	228.59974670410156	0.3435	0.0215	0.001387427	0.0925	0.891375
TARA_X000000488	ERS487982	SAMEA2619443	ERR868497	ERX947980	PRJEB4352	SAMEA2619443	ERS487982	TARA_005	[SRF] surface water layer (ENVO:00010504)	36.03	-4.405	2009-09-20	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	1275	57.25366636019501	9	3	15	20.730517	37.05135	26.1051	0.607927	228.59974670410156	0.3435	0.0215	0.001387427	0.0925	0.891375
TARA_X000000525	ERS487994	SAMEA2730824	ERR1726936	ERX1796710	PRJEB4352	SAMEA2730824	ERS487994	TARA_005	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.03	-4.405	2009-09-20	180	2000	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	1275	57.25366636019501	68	63	73	37.2851	22.9214	25.5627	0.341459	248.95941162109375	1.8925	0.3805	0.001387427	0.078	1.146
TARA_X000000567	ERS488005	SAMEA2619456	ERR868373	ERX947972	PRJEB4352	SAMEA2619456	ERS488005	TARA_005	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.03	-4.405	2009-09-20	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	1275	57.25366636019501	68	63	73	37.2851	22.9214	25.5627	0.341459	248.95941162109375	1.8925	0.3805	0.001387427	0.078	1.146
TARA_X000000655	ERS488033	SAMEA2730531	ERR1726887	ERX1796647	PRJEB4352	SAMEA2730531	ERS488033	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	180	2000	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	9	3	15	18.589717	37.212883	26.7997	1.335038	236.46957397460935	0.3435	0.0215	0.001383199	0.0925	0.891375
TARA_X000000659	ERS488029	SAMEA2730491	ERR1726612	ERX1796564	PRJEB4352	SAMEA2730491	ERS488029	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	180	2000	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	9	3	15	18.589717	37.212883	26.7997	1.335038	236.46957397460935	0.3435	0.0215	0.001383199	0.0925	0.891375
TARA_X000000609	ERS488021	SAMEA2619468	ERR868389	ERX948076	PRJEB4352	SAMEA2619468	ERS488021	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	9	3	15	18.589717	37.212883	26.7997	1.335038	236.46957397460935	0.3435	0.0215	0.001383199	0.0925	0.891375
TARA_X000000610	ERS488022	SAMEA2619469	ERR4691723	ERX4612832	PRJEB4352	SAMEA2619469	ERS488022	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	5	20	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	9	3	15	18.589717	37.212883	26.7997	1.335038	236.46957397460935	0.3435	0.0215	0.001383199	0.0925	0.891375
TARA_X000000608	ERS488020	SAMEA2619467	ERR868431	ERX948016	PRJEB4352	SAMEA2619467	ERS488020	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	9	3	15	18.589717	37.212883	26.7997	1.335038	236.46957397460935	0.3435	0.0215	0.001383199	0.0925	0.891375
TARA_X000000604	ERS488017	SAMEA2619464	ERR164413	ERX140302	PRJEB1788	SAMEA2619464	ERS488017	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	0.22	1.6	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	9	3	15	18.589717	37.212883	26.7997	1.335038	236.46957397460935	0.3435	0.0215	0.001383199	0.0925	0.891375
TARA_X000000706	ERS488048	SAMEA2619486	ERR868448	ERX948069	PRJEB4352	SAMEA2619486	ERS488048	TARA_006	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.529	-4.251	2009-09-21	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	386	16.331876973771145	35	30	40	18.878703	37.239979	26.701723	0.327175	246.46707153320312	2.499	0.046	0.001383199	0.145875	1.736125
TARA_A200000120	ERS327852	SAMEA2189665	ERR315673	ERX288843	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315675	ERX288838	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315680	ERX288822	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315681	ERX288837	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315682	ERX288827	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315684	ERX288833	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315685	ERX288839	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315693	ERX288821	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000120	ERS327852	SAMEA2189665	ERR315827	ERX288967	PRJEB4352	SAMEA4402871	ERS1314320	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000071	ERS327855	SAMEA2189668	ERR315687	ERX288832	PRJEB4352	SAMEA4402852	ERS1314301	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	5	20	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000071	ERS327855	SAMEA2189668	ERR315808	ERX288963	PRJEB4352	SAMEA4402852	ERS1314301	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	5	20	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000091	ERS327857	SAMEA2189670	ERR315676	ERX288841	PRJEB4352	SAMEA2591064	ERS477938	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000091	ERS327857	SAMEA2189670	ERR315677	ERX288826	PRJEB4352	SAMEA2591064	ERS477938	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000091	ERS327857	SAMEA2189670	ERR315686	ERX288836	PRJEB4352	SAMEA2591064	ERS477938	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000091	ERS327857	SAMEA2189670	ERR315798	ERX288959	PRJEB4352	SAMEA2591064	ERS477938	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000091	ERS327857	SAMEA2189670	ERR315800	ERX288950	PRJEB4352	SAMEA2591064	ERS477938	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
TARA_A200000091	ERS327857	SAMEA2189670	ERR315801	ERX288954	PRJEB4352	SAMEA2591064	ERS477938	TARA_007	[SRF] surface water layer (ENVO:00010504)	37.031	1.948	2009-09-23	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2833	41.017244613550346	9	3	15	23.8141	37.522	25.61115	0.189348	219.16110229492188	0.14325	0.0445	0.001387777	0.0475	0.7935
