local_identifier	row_number	parameter	description	method	pi
PANGAEA.875579_041	41	Diffuse attenuation coefficient of PAR [1/m] (Kd(PAR))	Kd(PAR)2 is calculated for a layer, which thickness is equal to 2*[Kd(490)]?1	calculated from 30-day avg. Kd490 (AMODIS) using eq. 9' in Morel et al. (2007) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875579_042	42	Depth of Secchi Disk [m] (z(SD))	NA	Measured in situ	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_043	43	Depth of the euphotic zone [m] (z(eu))	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875579_044	44	Depth of the euphotic zone [m] (z(eu))	zeu(0.415) is the depth of the 0.415 mol quanta m^-2 day^-1 light level, zeu(1%) was calculated from z(SD) using equation 18 in Morel et al. (2007) and converted to zeu(0.415) using equations in Boss and Berhenfeld (2010)	calculated from z(Secchi Disk) and 30-day average daily PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_045	45	Depth of the euphotic zone [m] (z(eu))	zeu(0.415) is the depth of the 0.415 mol quanta m^-2 day^-1 light level, zeu(1%) was converted to zeu(0.415) using equations in Boss and Berhenfeld (2010	calculated from Kd(PAR)1 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875579_046	46	Depth of the euphotic zone [m] (z(eu))	zeu(0.415) is the depth of the 0.415 mol quanta m^-2 day^-1 light level, zeu(1%) was converted to zeu(0.415) using equations in Boss and Berhenfeld (2010	calculated from Kd(PAR)2 and 30-day avg. daily surface PAR (AMODIS) (URI: https://doi.org/10.1029/2010GL044174)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875579_047	47	Mixed layer depth, upper [m] (UMLD)	based on sigma theta	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_048	48	Mixed layer depth, upper [m] (UMLD)	based on temperature	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_049	49	Depth of chlorophyll maximum [m] (D chl m)	NA	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_050	50	Depth of maximum Brunt Väisälä frequency [m] (Depth max Brunt Väisälä freq)	NA	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_051	51	Depth of maximum oxygen concentration [m] (Depth max O2)	NA	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_052	52	Depth of minimum oxygen concentration [m] (Depth min O2)	NA	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_053	53	Depth of nitracline [m] (Depth nitracline)	NA	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_054	54	Temperature, water [°C] (Temp)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_055	55	Temperature, water [°C] (Temp)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_056	56	Temperature, water [°C] (Temp)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_057	57	Temperature, water [°C] (Temp)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_058	58	Temperature, water [°C] (Temp)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_059	59	Temperature, water [°C] (Temp)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_060	60	Temperature, water [°C] (Temp)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_061	61	Temperature, water [°C] (Temp)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_062	62	Temperature, water [°C] (Temp)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_063	63	Temperature, water [°C] (Temp)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_064	64	Salinity (Sal)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_065	65	Salinity (Sal)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_066	66	Salinity (Sal)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_067	67	Salinity (Sal)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_068	68	Salinity (Sal)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_069	69	Salinity (Sal)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_070	70	Salinity (Sal)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_071	71	Salinity (Sal)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_072	72	Salinity (Sal)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_073	73	Salinity (Sal)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_074	74	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_075	75	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_076	76	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_077	77	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_078	78	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_079	79	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_080	80	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_081	81	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_082	82	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_083	83	Density, sigma-theta (0) [kg/m**3] (Sigma-theta)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_084	84	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_085	85	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_086	86	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)2 (equation 9' in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_087	87	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of the mixed layer (based on sigma theta)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_088	88	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of the mixed layer (based on temperature)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_089	89	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of maximum chlorophyll fluorescence	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_090	90	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of maximum Brunt Väisälä frequency	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_091	91	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of maximum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_092	92	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of minimum oxygen concentration	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_093	93	Brunt-Väisälä frequency, squared [1/s**2] (N**2)	at the depth of the nitracline	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_094	94	Chlorophyll a [mg/m**3] (Chl a)	at a depth of 10 m, below the surface	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875579_095	95	Chlorophyll a [mg/m**3] (Chl a)	at the base of the euphotic zone (zeu(0.415)), calculated from Kd(PAR)1 (equation 9 in Morel et al. 2007), values of 30-day average daily surface PAR from AMODIS products, and equations in Boss and Berhenfeld (2010)	calculated from in situ sensor data, calibrated using factory settings (URI: https://doi.org/10.1594/PANGAEA.836321)	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
